id,lower,upper,pred
te0,430551.9337732665,440578.2544655295,435565.09411939804
te1,420767.7505380006,430566.22564153536,425666.988089768
te2,196723.73158602274,201304.86353768836,199014.29756185555
te3,139337.20715566693,142581.97140759733,140959.58928163213
te4,330622.20496260386,338321.448642424,334471.82680251397
te5,557766.4714181921,570755.2541297703,564260.8627739813
te6,379343.9444079998,388177.7777761842,383760.861092092
te7,592381.3101892977,606176.1732990952,599278.7417441964
te8,409810.1543383676,419353.458427918,414581.80638314283
te9,378404.0026492141,387215.94746745506,382809.9750583346
te10,508272.30239734077,520108.50774931646,514190.4050733286
te11,234293.12958335225,239749.1451506489,237021.13736700057
te12,447432.8565871866,457852.2855956297,452642.57109140814
te13,244365.13754545097,250055.701314536,247210.4194299935
te14,311100.08624583983,318344.71572585526,314722.4009858476
te15,211697.05401591203,216626.87173748013,214161.96287669608
te16,262971.7101650554,269095.56768904964,266033.63892705255
te17,205748.81586815754,210540.1161693051,208144.46601873133
te18,181841.63958182966,186076.21025876558,183958.92492029764
te19,504801.34198390436,516556.71861468424,510679.03029929433
te20,227389.2453063416,232684.48919349053,230036.86724991607
te21,440215.6276766359,450466.9881063771,445341.3078915065
te22,396068.2970154314,405291.5926283746,400679.94482190296
te23,393867.5400977176,403039.586388821,398453.56324326934
te24,233552.02990362578,238990.78738317272,236271.40864339925
te25,369611.48105937015,378218.67324677086,373915.0771530705
te26,237049.4506336938,242569.65301938276,239809.55182653829
te27,345787.647635907,353840.0510155341,349813.84932572057
te28,237087.05544130772,242608.1335352008,239847.59448825425
te29,586086.2652386184,599734.5347914097,592910.400015014
te30,314448.84202231263,321771.45442773437,318110.1482250235
te31,298619.78042672225,305573.7793493892,302096.7798880557
te32,338081.1267188729,345954.06731114554,342017.5970150092
te33,250267.8077758093,256095.82781910404,253181.8177974567
te34,409379.48732000805,418912.762408876,414146.124864442
te35,413013.3510932824,422631.24845575984,417822.29977452115
te36,244020.33304484643,249702.86730522875,246861.60017503757
te37,303845.85380860843,310921.55300382763,307383.70340621803
te38,276516.71140504477,282955.9931916107,279736.3522983277
te39,408583.46928858303,418098.20739867137,413340.8383436272
te40,240277.55792269568,245872.93367626364,243075.24579947966
te41,417847.0111576067,427577.4706110207,422712.2408843137
te42,310566.3819610061,317798.5829976798,314182.48247934296
te43,227954.54012359207,233262.9481070528,230608.74411532242
te44,329997.7049647188,337682.40582923614,333840.05539697746
te45,343382.91000320064,351379.3139346893,347381.11196894496
te46,320234.8731236847,327692.22561225825,323963.5493679715
te47,221573.97768309203,226733.80065227865,224153.88916768535
te48,401742.9521589773,411098.39422818786,406420.67319358257
te49,221849.80269512782,227016.04883840488,224432.92576676633
te50,359347.9611300711,367716.1453507888,363532.0532404299
te51,185035.0435643126,189343.97946856898,187189.5115164408
te52,334525.7502420771,342315.8963049519,338420.8232735145
te53,664044.0206415306,679507.7029118275,671775.861776679
te54,201248.8247165008,205935.33311948302,203592.07891799192
te55,656799.6468921492,672094.6284582375,664447.1376751934
te56,290020.2440240335,296773.98438782577,293397.1142059296
te57,377994.18288070976,386796.5841709748,382395.3835258423
te58,354199.4916762195,362447.7827974771,358323.6372368483
te59,226667.14344432918,231945.57164846035,229306.35754639478
te60,342810.7446203419,350793.8244597349,346802.2845400384
te61,467957.67920364154,478855.0725122352,473406.3758579384
te62,287861.25122677494,294564.7148354081,291212.9830310915
te63,511891.58591460803,523812.0740078139,517851.82996121095
te64,267383.1421365998,273609.7292692412,270496.43570292054
te65,287400.8011117632,294093.5421567432,290747.1716342532
te66,256722.4790746853,262700.8099151898,259711.64449493756
te67,289103.33542047633,295835.72361050366,292469.52951549
te68,462416.14950887614,473184.49647140305,467800.3229901396
te69,300079.3461760841,307067.33420233324,303573.3401892086
te70,355612.39606401965,363893.5896794675,359752.99287174357
te71,332514.6803534654,340257.9943618164,336386.3373576409
te72,213379.4479862359,218348.44384208703,215863.94591416148
te73,191932.9834177658,196402.55257358038,194167.7679956731
te74,150809.97682419687,154321.90900385447,152565.94291402568
te75,244516.38848908411,250210.47445920212,247363.43147414312
te76,256545.32328735854,262519.5286772568,259532.42598230764
te77,134602.91598533202,137737.43216310252,136170.17407421727
te78,181089.94899383918,185307.01495112258,183198.48197248086
te79,360759.6682994098,369160.7271345307,364960.1977169703
te80,292130.2680138823,298933.14478964044,295531.70640176133
te81,310171.36965115706,317394.3719831328,313782.8708171449
te82,183874.70285906718,188156.61775352084,186015.660306294
te83,273259.2731160242,279622.6984997754,276440.9858078998
te84,465970.757829736,476821.8814335103,471396.3196316231
te85,327892.2851465829,335527.95681709924,331710.12098184106
te86,304929.7159475618,312030.65518594166,308480.1855667517
te87,627363.1810947962,641972.6717294083,634667.9264121022
te88,612096.3547330456,626350.324732285,619223.3397326653
te89,353032.9469697257,361254.07260777045,357143.5097887481
te90,334657.85754692706,342451.08001034806,338554.4687786375
te91,513334.1328806064,525288.2137587011,519311.1733196538
te92,214506.5796131663,219501.82313455446,217004.2013738604
te93,199790.0584895193,204442.59640750432,202116.32744851182
te94,227860.6049497261,233166.8254521803,230513.7152009532
te95,532273.5838196549,544668.7102347795,538471.1470272172
te96,235095.04032035533,240569.73009065763,237832.38520550646
te97,361765.91355269094,370190.40495613427,365978.1592544126
te98,273057.3584055615,279416.08177433885,276236.7200899502
te99,136530.86876355682,139710.2814365413,138120.57510004906
