id,lower,upper,pred
te0,282580.89636920235,445863.35363079765,364222.12
te1,318371.0415102957,502333.9584897043,410352.5
te2,173211.41662247744,273297.39587752253,223254.4
te3,119117.81208006393,187947.12541993608,153532.47
te4,260488.0028606289,411004.6221393711,335746.3
te5,503229.99288922903,794009.132110771,648619.56
te6,297903.379207329,470039.558292671,383971.47
te7,529608.6205778375,835630.0044221625,682619.3
te8,362319.71007547376,571677.2899245262,466998.5
te9,357686.5173540107,564366.9201459893,461026.72
te10,587673.1590977946,927245.7159022054,757459.44
te11,145028.1065807932,228829.0496692068,186928.58
te12,400060.1908518723,631225.1841481277,515642.7
te13,196537.0230157833,310101.1332342167,253319.08
te14,301941.157312897,476410.467687103,389175.8
te15,228593.5587158461,360680.7537841539,294637.16
te16,221607.46238602136,349657.91261397867,285632.7
te17,146039.26645794968,230424.48354205032,188231.88
te18,134779.76465287796,212658.95409712204,173719.36
te19,423374.5110857312,668011.1139142688,545692.8
te20,190371.11892641432,300372.4123235857,245371.77
te21,457090.42741262756,721208.9475873724,589149.7
te22,380635.82549232844,600576.9245076715,490606.38
te23,377147.08085760265,595072.2941423974,486109.7
te24,241802.4627144643,381522.0997855357,311662.28
te25,275063.05342500313,434001.50907499687,354532.28
te26,252410.33731357046,398259.47518642957,325334.9
te27,220949.15561630146,348619.21938369854,284784.2
te28,208842.80392885784,329517.50857114216,269180.16
te29,358405.1947725448,565500.8677274552,461953.03
te30,195660.56969477603,308718.24280522397,252189.4
te31,228220.69116238697,360092.43383761303,294156.56
te32,319735.1757210913,504486.3242789087,412110.75
te33,195941.64476774904,309161.730232251,252551.69
te34,405366.4799397527,639597.5825602473,522482.03
te35,365068.5869514793,576014.5380485207,470541.56
te36,243341.0171853278,383949.6703146722,313645.34
te37,259174.37148576908,408931.94101423095,334053.16
te38,196514.93560169908,310066.2831483009,253290.61
te39,462077.47941900743,729077.6455809926,595577.56
te40,246668.87040417775,389200.44209582225,317934.66
te41,356772.4960328679,562924.7539671322,459848.62
te42,288008.3389237994,454426.9110762006,371217.62
te43,177101.0563086661,279434.56869133393,228267.81
te44,286587.2768883389,452184.7231116611,369386.0
te45,319080.3845112421,503453.1779887579,411266.78
te46,293480.0775327673,463060.3599672327,378270.22
te47,166010.09529284408,261934.96720715592,213972.53
te48,356773.6113139303,562926.5136860698,459850.06
te49,152566.37614010327,240723.12385989673,196644.75
te50,265961.0749578236,419640.1750421764,342800.62
te51,151376.0560583635,238845.0064416365,195110.53
te52,269696.95132883976,425534.73617116024,347615.84
te53,647075.3075354538,1020971.9424645462,834023.6
te54,101795.81213630292,160616.0316136971,131205.92
te55,577551.6440228701,911275.7309771299,744413.7
te56,309931.9521632883,489018.5478367117,399475.25
te57,430169.579165754,678732.545834246,554451.06
te58,343458.22221909044,541917.1527809096,442687.7
te59,178710.70994725954,281974.3213027405,230342.52
te60,395403.09232328855,623877.0951767114,509640.1
te61,404139.0161495859,637660.858850414,520899.94
te62,244023.49645981385,385026.50354018615,314525.0
te63,429164.71092850406,677147.039071496,553155.9
te64,198929.04631967182,313875.3286803282,256402.19
te65,331435.73481849354,522947.76518150646,427191.75
te66,205914.22133035804,324896.716169642,265405.47
te67,223596.56616086632,352796.3713391337,288196.47
te68,407715.09214054816,643303.2828594518,525509.2
te69,262417.36636291235,414048.82113708765,338233.1
te70,258595.27391672225,408018.2260832778,333306.75
te71,281964.6066012475,444890.9558987525,363427.78
te72,155688.60547437772,245649.45702562228,200669.03
te73,121923.67739383563,192374.29135616435,157148.98
te74,111499.25440687907,175926.37059312093,143712.81
te75,181266.57046374315,286007.0232862569,233636.8
te76,266485.6207357733,420467.8167642267,343476.72
te77,185584.01741833586,292819.2013316641,239201.61
te78,122383.50050230362,193099.81199769638,157741.66
te79,236903.39668581402,373792.228314186,305347.8
te80,251601.15241229607,396982.7225877039,324291.94
te81,285574.4804574495,450586.7070425505,368080.6
te82,177371.17253293868,279860.76496706135,228615.97
te83,203032.84421508762,320350.4057849124,261691.62
te84,346951.52495902794,547428.975040972,447190.25
te85,255596.54983749174,403286.7626625083,329441.66
te86,166333.3207164048,262444.9605335952,214389.14
te87,644880.8223284382,1017509.4276715618,831195.1
te88,501998.09222005296,792065.407779947,647031.75
te89,269600.1643288132,425382.0231711868,347491.1
te90,290409.2723535671,458215.1651464329,374312.22
te91,428200.7686571972,675626.1063428029,551913.44
te92,208853.20513702705,329533.919862973,269193.56
te93,135706.27227287195,214120.82147712805,174913.55
te94,198794.00033015577,313662.2496698442,256228.12
te95,473251.5773644615,746708.4226355385,609980.0
te96,214324.31336974227,338166.37413025775,276245.34
te97,310615.7406807607,490097.4468192393,400356.6
te98,197752.84909051607,312019.49465948396,254886.17
te99,116119.82748066829,183216.8287693317,149668.33
te100,161708.95326247928,255148.51548752072,208428.73
te101,443269.67052506376,699402.2044749362,571335.94
te102,122474.11708862611,193242.7891613739,157858.45
te103,245280.6364243375,387010.0510756625,316145.34
te104,149062.7328050978,235194.9859449022,192128.86
te105,148335.06040234282,234046.84584765718,191190.95
te106,93089.87967248874,146879.58907751128,119984.734
te107,172522.14868065485,272209.8513193451,222366.0
te108,549040.7929048183,866290.5820951817,707665.7
te109,168909.6805837207,266510.0069162793,217709.84
te110,501678.3459885022,791560.9040114977,646619.6
te111,277144.07090653665,437284.99159346335,357214.53
te112,119557.99654373694,188641.65970626308,154099.83
te113,139699.60885262614,220421.60989737386,180060.61
te114,202143.61365234337,318947.35509765666,260545.48
te115,435905.5666507965,687782.9333492036,561844.25
te116,157560.93204841405,248603.66170158595,203082.3
te117,193018.26277333382,304549.1434766662,248783.7
te118,299038.420140757,471830.454859243,385434.44
te119,469356.96740397287,740563.4075960271,604960.2
te120,241836.79397499477,381576.2685250052,311706.53
te121,422471.4243680483,666586.2006319517,544528.8
te122,472440.76803207444,745429.1069679256,608934.94
te123,306493.44366685284,483593.18133314716,395043.3
te124,341164.1860546327,538297.5639453674,439730.88
te125,402582.1322769138,635204.3677230863,518893.25
te126,132292.0696300253,208733.8053699747,170512.94
te127,156009.69731677554,246156.08393322446,201082.89
te128,384247.9056654148,606276.1568345852,495262.03
te129,376698.0347585314,594363.7777414686,485530.9
te130,325908.08668496116,514226.10081503884,420067.1
te131,190869.77078752322,301159.19796247676,246014.48
te132,351934.5765007274,555291.3609992727,453612.97
te133,633057.6308046496,998854.4941953504,815956.06
te134,420888.6465785354,664088.8534214646,542488.75
te135,480009.5017360572,757371.2482639428,618690.4
te136,270990.2409469305,427575.3215530695,349282.78
te137,329962.86070411105,520623.82679588895,425293.34
te138,210200.6343771266,331659.9281228734,270930.28
te139,366761.43813280604,578685.561867194,472723.5
te140,148045.4873725789,233589.9501274211,190817.72
te141,164782.81334198092,259998.53040801908,212390.67
te142,167688.18112271384,264582.69387728616,216135.44
te143,272556.4107467094,430046.4642532906,351301.44
te144,491376.64028627373,775306.6097137262,633341.6
te145,234791.9999179495,370460.8125820505,302626.4
te146,218812.9802126586,345248.7072873414,282030.84
te147,129087.33374237148,203677.2912576285,166382.31
te148,143976.92993421186,227170.47631578814,185573.7
te149,290948.2440496069,459065.5684503931,375006.9
te150,400526.2571097659,631960.5553902341,516243.4
te151,220930.31706444256,348589.49543555744,284759.9
te152,516603.42508979625,815110.0749102038,665856.75
te153,341609.59536763077,539000.3421323692,440304.97
te154,296710.22243245214,468156.96506754786,382433.6
te155,164889.32268344302,260166.58356655698,212527.95
te156,438120.56333126465,691277.8116687353,564699.2
te157,183554.61805380048,289617.1631961995,236585.89
te158,158233.57987788238,249664.98262211762,203949.28
te159,312349.0086779803,492832.2413220197,402590.62
te160,154732.676255052,244141.167494948,199436.92
te161,126346.77298385318,199353.16451614682,162849.97
te162,207633.81501194258,327609.9349880574,267621.88
te163,229480.4496128833,362080.1128871167,295780.28
te164,303270.4026226309,478507.7848773691,390889.1
te165,187897.4861430445,296469.4513569555,242183.47
te166,304917.06662082864,481105.93337917136,393011.5
te167,141329.50726702675,222993.30523297325,182161.4
te168,238321.16136856817,376029.2136314318,307175.2
te169,235326.97114930887,371304.90385069116,303315.94
te170,187853.73560658455,296400.4206434154,242127.08
te171,245762.3408623456,387770.0966376544,316766.22
te172,262331.3442496623,413913.0932503377,338122.22
te173,330091.3604786954,520826.5770213046,425458.97
te174,319055.67861118517,503414.19638881483,411234.94
te175,129844.16104681283,204871.43270318717,167357.8
te176,246302.20963228345,388621.9153677166,317462.06
te177,253377.89212570997,399786.10787429,326582.0
te178,157427.40138642848,248392.97361357152,202910.19
te179,198010.90330764608,312426.65919235395,255218.78
te180,203672.6033758345,321359.8341241655,262516.22
te181,170841.46861005292,269558.0313899471,220199.75
te182,291743.02727803163,460319.59772196837,376031.3
te183,397352.4096584933,626952.7778415066,512152.6
te184,355122.6801534067,560321.6323465933,457722.16
te185,201092.2915343191,317288.5522156809,259190.42
te186,142107.7794866794,224221.2830133206,183164.53
te187,316297.00665802264,499061.49334197736,407679.25
te188,614257.6773686239,969191.4476313761,791724.56
te189,338467.77587904234,534043.0991209577,436255.44
te190,216393.20823103198,341430.729268968,278911.97
te191,169383.2628661654,267257.23713383457,218320.25
te192,144945.3212071482,228698.4287928518,186821.88
te193,661817.3835615473,1044232.3664384527,853024.9
te194,263572.77329835,415871.85170165,339722.3
te195,419975.03742648085,662647.3375735192,541311.2
te196,158103.2010971602,249459.2676528398,203781.23
te197,432457.8934534567,682343.1065465433,557400.5
te198,572071.395334491,902628.854665509,737350.1
te199,470084.4700900445,741711.2799099556,605897.9
te200,133632.5041182442,210848.7771317558,172240.64
te201,389769.27428166085,614987.9132183391,502378.6
te202,199970.1369462103,315517.9880537897,257744.06
te203,341057.53124172764,538129.2812582724,439593.4
te204,358035.67306227295,564917.826937727,461476.75
